Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13.9634,8.9766,22.5877,2.81086,32,32,0,0,,199.765,797.146,160.086,68.486,62.3901,20.3538,43.5393,0.3643,7.1193,242.272,10.9151,1.96158,5.56444,0.917,0.303924,0.054619,0.2493051365017891,0.214452,1.01932,0.288785,0.771651,0.423339,,2.79489,5.85809,5.79614,6.110000133514404,,,,,,,1149,5.745,1071,5.355,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.3843,9.2391,21.2732,2.91724,32,32,0,0,,193.982,785.35,158.064,69.1553,62.8767,17.5014,51.574,0.5026,7.1695,237.009,10.9963,2.39284,4.59552,0.812,0.301788,0.0656701,0.23611803352832794,0.217538,1.08071,0.297742,0.758808,0.444132,,2.77289,5.69684,5.73887,9.630000114440918,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.54,3.4,3.29,3.18,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.5763,8.9706,20.7658,3.00928,32,32,0,0,,192.855,773.587,157.356,70.6037,64.4839,19.5212,49.7223,0.4928,6.0061,238.816,11.1448,2.3204,4.80299,0.911,0.308712,0.064275,0.24443700909614563,0.219202,1.07375,0.299952,0.759252,0.455553,,2.84129,5.59014,5.38187,10.229999542236328,,,,,,,1084,5.616580310880829,1015,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3,2.81,2.6,2.33,3.83,3.62,3.49,3.37,3.27,3.17,3.07,2.95,2.8,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.522,9.3377,21.0706,3.16293,32,32,0,0,,198.055,812.7,183.178,77.504,69.6038,17.6489,50.6174,0.4957,6.6796,191.779,8.71482,2.30015,3.7888,0.802,0.235978,0.062283,0.17369495332241058,0.242491,1.18046,0.303181,0.747495,0.544945,,3.22485,4.69876,5.03615,27.770000457763672,,,,,,,978,4.9393939393939394,966,4.878787878787879,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,"Cristopher Sanchez","20778",650911
"Cole Ragans","KCR",11.8437,8.5061,17.6176,3.22759,29.16,29.16,0,0,,172.018,709.938,138.776,67.1247,61.6893,17.8325,62.18,0.5971,5.6263,210.473,11.012,3.25326,3.3849,0.933,0.296467,0.0875851,0.20888204127550125,0.216118,1.16823,0.292257,0.760447,0.399122,,3.21824,4.24873,4.34194,48.88999938964844,,,,,,,905.9999999999999,5.267441860465116,842,4.895348837209302,4.7,4.21,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.38,3.26,3.13,2.97,"Cole Ragans","21846",666142
"Chris Sale","ATL",12.0364,7.5034,17.7339,3.19214,27.54,27.54,0,0,,168.535,685.659,139.804,64.9887,59.7763,18.0894,44.262,0.5232,8.6091,205.462,10.972,2.36365,4.64196,0.966,0.299657,0.064554,0.23510300368070602,0.220934,1.09215,0.29742,0.750137,0.416999,,3.03338,4.15089,4.31761,35.20000076293945,,,,,,,916.2,5.4213017751479295,862,5.100591715976331,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,"Chris Sale","10603",519242
"Jacob deGrom","TEX",11.4471,9.0878,17.2781,3.47434,29.16,29.16,0,0,,174.797,714.332,151.108,72.7377,67.4782,23.384,39.7711,0.4393,5.3318,202.487,10.4257,2.04775,5.09132,1.204,0.283464,0.0556759,0.2277880497276783,0.225794,1.09201,0.288084,0.747061,0.378991,,3.33151,4.07809,3.49189,46.5099983215332,,,,,,,888.4999999999999,5.0771428571428565,845,4.828571428571428,4.98,4.47,4.13,3.87,3.63,3.41,3.2,2.96,2.65,4.38,4.14,3.97,3.84,3.71,3.6,3.47,3.33,3.15,"Jacob deGrom","10954",594798
"Logan Webb","SFG",12.4742,10.5164,20.7265,3.32235,32,32,0,0,,199.392,830.798,193.719,81.8859,73.6054,16.8154,47.1653,0.7552,6.0499,186.931,8.43758,2.12891,3.96332,0.759,0.225002,0.0567711,0.1682310439646244,0.24913,1.2081,0.308283,0.731556,0.546891,,3.15712,4.06519,3.93109,56.2599983215332,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.8,4.35,4.05,3.82,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Sonny Gray","BOS",11.5224,9.9928,17.0265,3.68076,30.78,30.78,0,0,,181.357,756.916,170.987,80.6473,74.1702,21.2188,47.6993,0.5011,5.6579,189.834,9.42066,2.36712,3.9798,1.053,0.250799,0.063018,0.18778107315301895,0.243032,1.20583,0.304094,0.730442,0.450969,,3.44529,3.87282,3.46659,117.30999755859375,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.2,4.71,4.39,4.13,3.9,3.69,3.47,3.23,2.93,4.55,4.34,4.2,4.09,3.98,3.88,3.77,3.65,3.48,"Sonny Gray","12768",543243
"Dylan Cease","TOR",12.3535,9.7762,17.3664,3.60556,32,32,0,0,,184.857,777.691,157.331,80.0614,74.0571,22.4499,67.5907,1.179,5.8887,216.041,10.5182,3.29074,3.19631,1.093,0.277798,0.086912,0.1908859685063362,0.223414,1.21673,0.289617,0.748663,0.382153,,3.56901,3.799,3.26652,73.56999969482422,,,,,,,900.2,4.865945945945946,849,4.589189189189189,5.07,4.59,4.28,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.4,"Dylan Cease","18525",656302
