"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","SB","OPS","GP"
"*05yo5*","C","Ben Rice","NYY","C,1B","Act","26","100","81.34","491","125","81","29","74","3",".838","139"
"*03ojr*","1B","Vladimir Guerrero Jr.","TOR","1B","Act","26","100","19.53","604","182","97","27","94","6",".882","157"
"*0326s*","2B","Ketel Marte","ARI","2B","Act","32","100","27.77","505","147","94","30","82","6",".908","131"
"*045qo*","3B","Jazz Chisholm Jr.","NYY","2B,3B","Act","27","100","21.33","509","126","79","30","83","32",".791","135"
"*050w9*","SS","Gunnar Henderson","BAL","SS","Act","24","100","20.56","599","164","105","26","85","25",".828","155"
"*04y4e*","OF","Corbin Carroll","ARI","OF","Act","25","100","7.09","581","149","115","29","81","35",".851","151"
"*060pm*","OF","Wyatt Langford","TEX","OF","Act","24","100","45.02","523","132","82","25","73","22",".798","139"
"*04e2u*","OF","Brent Rooker","ATH","OF,UT","Act","31","100","44.4","586","159","87","35","98","6",".863","154"
"*04hyc*","UT","Ivan Herrera","STL","UT","Act","25","100","152.14","448","125","65","16","67","10",".809","124"
"*042sz*","UT","Will Smith","LAD","C","Res","30","100","116.74","399","107","72","17","69","2",".826","114"
"*04yk2*","1B","Spencer Torkelson","DET","1B","Res","26","100","143.13","594","144","85","31","80","2",".786","156"
"*03d6s*","3B","Matt Chapman","SF","3B","Res","32","99","115.54","506","122","82","22","66","10",".776","139"
"*04ppj*","SS","Jeremy Pena","HOU","SS","Res","28","100","127.44","579","161","80","17","70","20",".763","146"
"*04prt*","OF","Lawrence Butler","ATH","OF","Res","25","99","125.91","577","141","84","22","69","23",".735","150"
"*0512v*","UT","Michael Harris II","ATL","OF","Res","24","100","102.12","613","164","69","22","80","22",".736","156"
"*04b02*","OF","Seiya Suzuki","CHC","OF,UT","Res","31","100","80.86","554","146","75","26","89","6",".822","146"
"*0637j*","C","Josue Briceno","DET","C,1B","Min","21","11","480.81","57","13","5","1","5","0",".684","17"
"*05zde*","2B","Travis Bazzana","CLE","2B","Min","23","80","426.66","101","22","17","2","9","4",".704","33"
"*06hea*","SS","Caleb Bonemer","CHW","3B,SS","Min","20","0","-","0","0","0","0","0","0","0","0"
"*06ibv*","SS","Jesus Made","MIL","SS","Min","18","7","475.61","0","0","0","0","0","0","0","0"
"*05u36*","SS","Aidan Miller","PHI","SS","Min","21","34","446.67","50","12","7","1","3","6",".727","16"
"*05y3p*","SS","Arjun Nimmala","TOR","SS","Min","20","0","-","0","0","0","0","0","0","0","0"
"*06j3f*","SS","Luis Pena","MIL","2B,SS","Min","19","0","-","0","0","0","0","0","0","0","0"
"*05rcf*","OF","Joshua Baez","STL","OF","Min","22","26","470.43","55","12","6","2","7","7",".702","16"
"*05u9y*","OF","Max Clark","DET","OF","Min","21","22","485.99","55","13","10","2","6","2",".780","17"
"*061zv*","OF","Josue De Paula","LAD","OF","Min","20","2","464.8","0","0","0","0","0","0","0","0"
"*066sx*","OF","Jonny Farmelo","SEA","OF","Min","21","0","-","0","0","0","0","0","0","0","0"
"*06mh4*","1B","Edward Florentino","PIT","OF","Min","19","0","-","0","0","0","0","0","0","0","0"
"*05u2m*","OF","Theo Gillen","TB","OF","Min","20","0","-","0","0","0","0","0","0","0","0"
"*06c79*","OF","Eduardo Quintero","LAD","OF","Min","20","0","-","0","0","0","0","0","0","0","0"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","W","SV","K","ERA","WHIP","GP"
"*05144*","SP","Hunter Brown","HOU","SP","Act","27","100","37.12","188","13","0","198","3.54","1.176","31"
"*03df2*","SP","Dylan Cease","TOR","SP","Act","30","100","70.78","171","11","0","205","4.00","1.263","32"
"*02btx*","SP","Tyler Glasnow","LAD","SP","Act","32","100","110.59","120","9","0","146","3.67","1.142","22"
"*04ps7*","SP","Joe Ryan","MIN","SP","Act","29","100","68.91","167","11","0","185","3.77","1.096","30"
"*05mre*","SP","Spencer Strider","ATL","SP","Act","27","100","82.11","158","11","0","215","4.04","1.222","28"
"*04eee*","RP","Drew Rasmussen","TB","SP","Act","30","100","163.36","163","12","0","147","3.42","1.129","30"
"*01gya*","RP","Aroldis Chapman","BOS","RP","Act","37","100","146.14","58","4","35","86","2.95","1.069","65"
"*06als*","SP","Shohei Ohtani-P","LAD","SP","Res","31","100","77.06","148","12","0","190","3.28","1.047","26"
"*04auj*","SP","Framber Valdez","(N/A)","SP","Res","32","100","78.84","190","14","0","184","3.46","1.200","30"
"*05t64*","RP","Felix Bautista","BAL","RP","Res","30","2","462.61","0","0","0","0","0","0","0"
"*04pko*","SP","Grayson Rodriguez","LAA","SP","IR","26","100","290.43","109","7","0","131","3.96","1.202","20"
"*05r3i*","P","Andrew Painter","PHI","SP","Min","22","98","371.85","125","7","0","129","4.32","1.360","24"

