"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","SB","OPS","GP"
"*04o4s*","C","Shea Langeliers","ATH","C","Act","28","100","66.75","480","125","69","30","77","7",".825","127"
"*02mw3*","1B","Christian Walker","HOU","1B","Act","34","100","167.7","580","142","80","31","95","2",".775","154"
"*05ybv*","2B","Jackson Holliday","BAL","2B","Act","22","100","88.8","585","146","88","18","61","17",".719","148"
"*05xch*","3B","Junior Caminero","TB","3B","Act","22","100","16.76","611","159","89","37","103","6",".806","155"
"*05udp*","SS","Elly De La Cruz","CIN","SS","Act","24","100","11.9","623","161","105","25","85","43",".790","159"
"*03wha*","OF","Ronald Acuna Jr.","ATL","OF","Act","28","100","8.7","545","161","114","31","69","15",".924","146"
"*051wv*","OF","Pete Crow-Armstrong","CHC","OF","Act","23","100","30.62","584","142","88","25","86","36",".748","155"
"*05rat*","OF","James Wood","WSH","OF","Act","23","100","28.03","581","152","83","26","85","17",".823","154"
"*05ua7*","UT","Jackson Merrill","SD","OF","Act","22","100","74.03","536","149","72","20","82","9",".797","134"
"*04qnc*","C","Francisco Alvarez","NYM","C","Res","24","97","302.14","347","81","47","19","54","0",".760","101"
"*04de1*","1B","Triston Casas","BOS","1B","Res","26","91","348.78","239","57","32","13","35","0",".803","67"
"*04aeb*","3B","Royce Lewis","MIN","3B","Res","26","100","206.81","409","102","48","19","61","13",".737","107"
"*063vu*","2B","Matt Shaw","CHC","3B","Res","24","100","272.94","238","58","34","9","28","13",".754","70"
"*05gsc*","3B","Jordan Westburg","BAL","3B","Res","26","100","122.51","502","132","77","23","68","5",".779","125"
"*03e5m*","OF","Bryan Reynolds","PIT","OF","Res","31","100","167.8","603","158","71","21","79","4",".767","154"
"*04355*","OF","Yordan Alvarez","HOU","UT","Res","28","100","38.24","501","149","77","31","89","3",".942","132"
"*06kkk*","C","Walker Janek","HOU","C","Min","23","0","-","0","0","0","0","0","0","0","0"
"*05r64*","C","Thayron Liranzo","DET","C","Min","22","0","-","0","0","0","0","0","0","0","0"
"*05gss*","C","Jeferson Quero","MIL","C","Min","23","18","480.79","146","32","15","4","19","1",".654","43"
"*066or*","C","Jancel Villarroel","HOU","C","Min","21","0","-","0","0","0","0","0","0","0","0"
"*064o4*","2B","Demetrio Crisantes","ARI","2B","Min","21","0","-","0","0","0","0","0","0","0","0"
"*05js7*","2B","Nick Yorke","PIT","2B","Min","23","35","481.53","363","94","40","5","39","12",".691","101"
"*067yc*","SS","Leodalis De Vries","ATH","SS","Min","19","10","479.22","0","0","0","0","0","0","0","0"
"*06aw3*","SS","JJ Wetherholt","STL","2B,SS","Min","23","99","323.27","109","28","15","3","10","6",".771","33"
"*05t9n*","SS","Carson Williams","TB","SS","Min","22","66","431.58","342","72","51","12","43","14",".672","94"
"*060fy*","OF","Luis Baez","HOU","OF","Min","22","0","-","0","0","0","0","0","0","0","0"
"*06eyu*","OF","Zyhir Hope","LAD","OF","Min","21","0","-","0","0","0","0","0","0","0","0"
"*05u3v*","OF","Walker Jenkins","MIN","OF","Min","20","63","446.16","157","41","22","3","13","9",".775","50"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","W","SV","K","ERA","WHIP","GP"
"*04cd5*","SP","MacKenzie Gore","TEX","SP","Act","26","100","164.09","165","10","0","187","3.98","1.291","30"
"*041wv*","SP","Michael King","SD","SP","Act","30","100","149.61","148","10","0","160","3.77","1.223","28"
"*043f9*","SP","Pablo Lopez","MIN","SP","Act","29","100","122.92","175","12","0","189","3.70","1.177","30"
"*041r1*","SP","Jesus Luzardo","PHI","SP","Act","28","100","65.4","180","12","0","212","3.70","1.178","32"
"*05r8n*","SP","Yoshinobu Yamamoto","LAD","SP","Act","27","100","24.06","178","14","0","198","3.19","1.084","30"
"*03d6v*","RP","Michael Kopech","(N/A)","RP","Act","29","15","482.54","50","1","0","59","5.22","1.640","28"
"*04pr8*","P","Taj Bradley","MIN","SP","Res","24","93","363.58","128","7","0","123","4.36","1.305","24"
"*041rd*","SP","Corbin Burnes","ARI","SP","Res","31","74","453.39","63","4","0","60","3.71","1.190","10"
"*05rb0*","SP","Jackson Jobe","DET","SP","Res","23","2","464.1","17","1","0","14","4.24","1.529","3"
"*03i81*","SP","Reynaldo Lopez","ATL","SP","Res","32","93","396.63","109","9","0","122","3.39","1.193","20"
"*01spo*","SP","Gerrit Cole","NYY","SP","IR","35","100","248.23","110","9","0","119","3.27","1.073","18"
"*06me7*","P","Anderson Brito","TB","SP","Min","21","0","-","0","0","0","0","0","0","0"
"*05jpx*","P","Tink Hence","STL","SP","Min","23","9","478.08","52","3","0","56","3.81","1.288","10"
"*06pgk*","RP","Cole Hertzler","HOU","SP","Min","22","0","-","0","0","0","0","0","0","0"

