"","Hitting"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","AB","H","R","HR","RBI","SB","OPS","GP"
"*03yrz*","C","William Contreras","MIL","C","Act","28","100","63.23","558","154","96","19","83","6",".807","151"
"*030uc*","1B","Rafael Devers","SF","1B","Act","29","100","35.84","580","147","95","33","99","1",".825","154"
"*03fi0*","2B","Ozzie Albies","ATL","2B","Act","29","99","142.23","556","139","73","18","77","12",".716","147"
"*05r9j*","3B","Marcelo Mayer","BOS","3B","Act","23","98","312.83","376","89","55","10","44","10",".708","102"
"*05xu5*","SS","Zach Neto","LAA","SS","Act","24","100","40.47","553","140","86","27","74","31",".786","141"
"*05u9z*","OF","Roman Anthony","BOS","OF","Act","21","100","39.96","535","158","97","17","65","11",".894","141"
"*05m1e*","OF","Jackson Chourio","MIL","OF","Act","21","100","24.19","587","161","100","23","89","25",".784","147"
"*03zbh*","OF","Fernando Tatis Jr.","SD","OF","Act","27","100","15.42","591","160","106","27","76","28",".823","150"
"*03cag*","UT","Kyle Schwarber","PHI","UT","Act","32","100","14.9","578","138","109","43","120","8",".874","160"
"*05184*","1B","Vinnie Pasquantino","KC","1B","Res","28","100","74.17","600","161","74","33","110","1",".827","155"
"*04fyo*","2B","Ronny Mauricio","NYM","3B","Res","24","22","478.39","127","30","14","4","10","3",".672","37"
"*02i2k*","OF","Byron Buxton","MIN","OF","Res","32","100","58.48","474","120","86","31","73","21",".842","116"
"*03zlh*","OF","Oneil Cruz","PIT","OF","Res","27","100","76.4","515","118","68","21","68","32",".732","140"
"*0622w*","OF","Chandler Simpson","TB","OF","Res","25","100","165.13","515","149","65","0","31","59",".680","126"
"*060jo*","3B","Cam Smith","HOU","OF","Res","22","99","309.57","500","121","64","10","59","9",".685","141"
"*05gtn*","1B","Tyler Soderstrom","ATH","1B,OF","Res","24","100","88.08","576","149","70","26","88","7",".788","157"
"*01s8u*","OF","Mike Trout","LAA","OF,UT","Res","34","100","143.8","446","105","71","27","63","2",".815","123"
"*06626*","C","Alfredo Duno","CIN","C","Min","20","0","-","0","0","0","0","0","0","0","0"
"*06mnp*","C","Rainiel Rodriguez","STL","C","Min","19","0","-","0","0","0","0","0","0","0","0"
"*05u9o*","2B","Sal Stewart","CIN","1B","Min","22","100","236.66","388","105","57","20","56","7",".831","109"
"*05u96*","1B","Bryce Eldridge","SF","UT","Min","21","94","360.53","370","84","30","12","53","1",".683","100"
"*06f0q*","SS","Kristian Campbell","BOS","2B","Min","23","95","376.41","390","101","51","9","43","7",".752","114"
"*06ps2*","SS","Josuar Gonzalez","SF","SS","Min","18","0","-","0","0","0","0","0","0","0","0"
"*05u3u*","SS","Konnor Griffin","PIT","SS","Min","19","99","265.32","269","63","42","8","45","12",".667","82"
"*06b72*","SS","George Lombard Jr.","NYY","SS","Min","20","3","463.67","0","0","0","0","0","0","0","0"
"*05yby*","2B","Kevin McGonigle","DET","SS","Min","21","99","303.67","318","86","47","10","47","12",".834","39"
"*067xj*","SS","Cooper Pratt","MIL","SS","Min","21","0","-","0","0","0","0","0","0","0","0"
"*04yi8*","OF","Spencer Jones","NYY","OF","Min","24","60","449.36","130","29","20","7","17","7",".739","37"
"*054p6*","OF","Emmanuel Rodriguez","MIN","OF","Min","22","20","484.38","93","22","18","3","12","5",".847","33"

"","Pitching"
"ID","Pos","Player","Team","Eligible","Status","Age","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","IP","W","SV","K","ERA","WHIP","GP"
"*02hjp*","SP","Jacob deGrom","TEX","SP","Act","37","100","51.83","155","11","0","168","3.48","1.045","28"
"*04yie*","SP","George Kirby","SEA","SP","Act","27","100","73.29","170","11","0","167","3.71","1.100","30"
"*03dc4*","SP","Freddy Peralta","NYM","SP","Act","29","100","56.65","174","12","0","203","3.67","1.195","32"
"*05aoc*","SP","Eury Perez","MIA","SP","Act","22","100","97.53","130","8","0","149","3.81","1.192","24"
"*05wru*","SP","Paul Skenes","PIT","SP","Act","23","100","11.15","190","16","0","218","2.61","1.000","32"
"*02my5*","RP","Edwin Diaz","LAD","RP","Act","31","100","101.23","68","5","38","95","2.91","0.956","62"
"*04apj*","RP","Jhoan Duran","PHI","RP","Act","28","100","100.75","69","4","37","85","3.13","1.072","69"
"*061yu*","SP","Jacob Misiorowski","MIL","SP","Res","23","100","94.29","145","9","0","169","3.97","1.297","28"
"*04ak5*","SP","Trevor Rogers","BAL","SP","Res","28","100","142.36","172","11","0","147","3.82","1.267","29"
"*05tq1*","SP","Spencer Schwellenbach","ATL","SP","IR","25","100","86.47","153","12","0","158","3.35","1.046","24"
"*061mh*","SP","Robby Snelling","MIA","SP","Min","22","98","370.99","79","5","0","71","4.10","1.329","16"
"*05tp6*","SP","Thomas White","MIA","SP","Min","21","69","434.06","18","1","0","24","4.00","1.444","4"
"*06gwk*","SP","Payton Tolle","BOS","RP","Min","23","91","374.18","87","5","0","94","4.24","1.230","44"

