"ID","Player","Team","Position","RkOv","Status","Age","Score","%D","ADP","Ros","+/-"
"*04ptt*","Tarik Skubal","DET","SP","1","BraedonS","29","100","100","7.6","99%","0%"
"*06alt*","Shohei Ohtani-H","LAD","UT","2","PINKHATS","31","100","100","2","99%","0%"
"*05wru*","Paul Skenes","PIT","SP","3","RDO","23","98.41","100","11.1","99%","0%"
"*04lgp*","Bobby Witt Jr.","KC","SS","4","BraedonS","25","98.35","100","4.2","99%","0%"
"*01ub6*","Jose Ramirez","CLE","3B","5","BraedonS","33","97.83","100","4.7","98%","0%"
"*05ajh*","Garrett Crochet","BOS","SP","6","PINKHATS","26","95.95","100","11","99%","0%"
"*052c8*","Cristopher Sanchez","PHI","SP","7","PINKHATS","29","95.69","100","32.9","99%","0%"
"*03ynj*","Juan Soto","NYM","OF","8","Aidangon","27","95.5","100","3.3","98%","0%"
"*04eor*","Cade Smith","CLE","RP","9","FA","26","94.82","100","112","96%","0%"
"*02z0s*","Aaron Judge","NYY","OF","10","Aidangon","33","94.59","100","2.1","99%","0%"
"*05udp*","Elly De La Cruz","CIN","SS","11","paranoia","24","94.34","100","11.9","99%","0%"
"*04y4e*","Corbin Carroll","ARI","OF","12","OWH","25","94.24","100","7.1","99%","0%"
"*02611*","Francisco Lindor","NYM","SS","13","Aidangon","32","93.47","100","17.4","98%","0%"
"*02my5*","Edwin Diaz","LAD","RP","14","RDO","31","92.98","100","101.2","97%","0%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","15","paranoia","27","92.46","100","24.1","99%","0%"
"*05ucd*","Mason Miller","SD","RP","16","BraedonS","27","92.1","100","95.4","98%","0%"
"*04my4*","Cal Raleigh","SEA","C","17","TBD","29","91.89","100","14.1","99%","0%"
"*04fhb*","Julio Rodriguez","SEA","OF","18","TBD","25","91.82","100","11.4","99%","0%"
"*01uca*","Chris Sale","ATL","SP","19","PINKHATS","36","91.3","100","41","98%","0%"
"*02i2j*","Max Fried","NYY","SP","20","TBD","32","90.74","100","49.3","99%","0%"
"*03pir*","Kyle Tucker","LAD","OF","21","PINKHATS","29","90.06","100","16.9","98%","0%"
"*03cag*","Kyle Schwarber","PHI","UT","22","RDO","32","89.21","100","14.9","97%","0%"
"*06als*","Shohei Ohtani-P","LAD","SP","23","OWH","31","88.98","100","77.1","100%","0%"
"*03dbm*","Logan Webb","SF","SP","24","BraedonS","29","88.49","100","46.5","98%","0%"
"*05y62*","Bryan Woo","SEA","SP","25","TBD","25","88.25","100","42.8","98%","0%"
"*04n0m*","Logan Gilbert","SEA","SP","26","TBD","28","88.02","100","42.4","98%","0%"
"*04apj*","Jhoan Duran","PHI","RP","27","RDO","28","87.9","99","100.8","98%","0%"
"*01gya*","Aroldis Chapman","BOS","RP","28","OWH","37","87.79","100","146","95%","0%"
"*051wv*","Pete Crow-Armstrong","CHC","OF","29","paranoia","23","87.66","100","30.6","99%","0%"
"*03zbh*","Fernando Tatis Jr.","SD","OF","30","RDO","27","87.53","100","15.4","99%","0%"
"*050w9*","Gunnar Henderson","BAL","SS","31","OWH","24","87.35","100","20.6","99%","0%"
"*02n96*","Josh Hader","HOU","RP","32","PINKHATS","31","86.83","100","133.9","98%","0%"
"*02bqr*","Blake Snell","LAD","SP","33","PINKHATS","33","86.16","100","64","97%","0%"
"*0403o*","Andres Munoz","SEA","RP","34","TBD","27","85.74","100","91.8","98%","0%"
"*05144*","Hunter Brown","HOU","SP","35","OWH","27","85.58","100","37.1","99%","0%"
"*045qo*","Jazz Chisholm Jr.","NYY","2B,3B","36","OWH","27","85.56","100","21.4","98%","0%"
"*05tq1*","Spencer Schwellenbach","ATL","SP","37","RDO","25","85.42","100","86.5","99%","0%"
"*0311c*","Devin Williams","NYM","RP","38","Aidangon","31","84.98","100","174.4","95%","0%"
"*04auj*","Framber Valdez","(N/A)","SP","39","OWH","32","84.87","100","78.9","98%","0%"
"*04aqc*","David Bednar","NYY","RP","40","FA","31","84.77","100","154.2","95%","0%"
"*05xu5*","Zach Neto","LAA","SS","41","RDO","24","84.62","100","40.4","99%","0%"
"*062k5*","Nick Kurtz","ATH","1B","42","BraedonS","22","84.5","100","18.7","99%","0%"
"*05m1e*","Jackson Chourio","MIL","OF","43","RDO","21","84.43","100","24.2","99%","0%"
"*02hi7*","Kevin Gausman","TOR","SP","44","FA","35","84.33","100","94.5","97%","0%"
"*05rb3*","Chase Burns","CIN","SP","45","PINKHATS","23","84.08","100","107.2","98%","0%"
"*02hjp*","Jacob deGrom","TEX","SP","46","RDO","37","84.01","100","51.9","98%","0%"
"*041ma*","Cole Ragans","KC","SP","47","BraedonS","28","83.6","100","54.3","98%","0%"
"*040b5*","Randy Arozarena","SEA","OF","48","FA","30","83.58","100","51.7","98%","0%"
"*03aqv*","Raisel Iglesias","ATL","RP","49","FA","36","83.56","100","197.4","92%","0%"
"*04aea*","Hunter Greene","CIN","SP","50","BraedonS","26","83.15","100","49.6","99%","0%"
"*01sb3*","Zack Wheeler","PHI","SP","51","Aidangon","35","83.13","100","174.6","97%","0%"
"*02bu3*","Brandon Woodruff","MIL","SP","52","Aidangon","32","82.73","100","130.4","96%","0%"
"*05xch*","Junior Caminero","TB","3B","53","paranoia","22","82.63","100","16.8","99%","0%"
"*03wha*","Ronald Acuna Jr.","ATL","OF","54","paranoia","28","82.49","100","8.7","99%","0%"
"*041r1*","Jesus Luzardo","PHI","SP","55","paranoia","28","82.42","100","65.4","98%","0%"
"*0260v*","Sonny Gray","BOS","SP","56","FA","36","82.4","100","106.2","96%","0%"
"*01svq*","Manny Machado","SD","3B","57","TBD","33","82.28","100","28","98%","0%"
"*01ut7*","Nathan Eovaldi","TEX","SP","58","BraedonS","35","82.23","100","155.5","96%","0%"
"*02c68*","Trea Turner","PHI","SS","59","TBD","32","82.19","100","32","98%","0%"
"*03dc4*","Freddy Peralta","NYM","SP","60","RDO","29","81.85","100","56.8","98%","0%"
"*0316j*","Nick Pivetta","SD","SP","61","BraedonS","32","81.57","100","81.2","98%","0%"
"*04eee*","Drew Rasmussen","TB","SP","62","OWH","30","81.42","100","163.3","97%","0%"
"*043f9*","Pablo Lopez","MIN","SP","63","paranoia","29","81.35","100","122.9","98%","0%"
"*03nuc*","Luis Castillo","SEA","SP","64","FA","33","81.28","100","124.3","97%","0%"
"*04ps7*","Joe Ryan","MIN","SP","65","OWH","29","81.23","100","68.7","99%","0%"
"*0317q*","Griffin Jax","TB","RP","66","FA","31","80.85","89","385.4","77%","+1%"
"*04e2u*","Brent Rooker","ATH","OF,UT","67","OWH","31","80.58","100","44.4","98%","0%"
"*066er*","Grant Taylor","CHW","RP","68","FA","23","80.38","91","378.6","78%","-1%"
"*04pq4*","Kyle Bradish","BAL","SP","69","FA","29","80.38","100","86.4","97%","0%"
"*04yie*","George Kirby","SEA","SP","70","RDO","27","80.27","100","73.3","99%","0%"
"*03atq*","Willy Adames","SF","SS","71","FA","30","80.03","100","93.1","96%","0%"
"*02mwm*","Matt Olson","ATL","1B","72","BraedonS","31","79.81","100","31.7","99%","0%"
"*03pjd*","Josh Naylor","SEA","1B","73","Aidangon","28","79.76","100","59.2","98%","0%"
"*025dn*","Christian Yelich","MIL","UT","74","Aidangon","34","79.34","100","76.8","97%","0%"
"*02i2k*","Byron Buxton","MIN","OF","75","RDO","32","79","100","58.6","98%","0%"
