Name,display_name,Position,status,current_slot,optimized_slot,FV,PV,EWA,BV,WAR,age,R,HR,RBI,SB,OPS,W,SV,K,ERA,WHIP
Kevin Gausman-P,Kevin Gausman,SP,Add,—,SP,7.2185,1.9008,0.8285,0.9787,3.0982,35,0.0,0.0,0.0,0.0,0.0,11.3847,0.0,174.841,3.9147,1.1977
Drew Rasmussen-P,Drew Rasmussen,SP,Add,—,Bench,6.9565,1.8156,0.7598,0.9493,2.805,30,0.0,0.0,0.0,0.0,0.0,9.6213,0.0522,139.663,3.6193,1.1522
Shota Imanaga-P,Shota Imanaga,SP,Add,—,Bench,6.6244,1.8085,0.5248,0.9121,1.9854,32,0.0,0.0,0.0,0.0,0.0,10.2375,0.0,141.457,3.9888,1.129
Tanner Bibee-P,Tanner Bibee,SP,Add,—,Bench,6.3836,1.5988,0.389,0.8851,2.4472,27,0.0,0.0,0.0,0.0,0.0,10.8523,0.0,163.637,3.9873,1.2226
Jack Flaherty-P,Jack Flaherty,SP,Add,—,Bench,6.0139,1.5422,0.3347,0.8437,2.6219,30,0.0,0.0,0.0,0.0,0.0,10.1181,0.0,175.26,4.0489,1.2467
Zac Gallen-P,Zac Gallen,SP,Add,—,Bench,5.8828,1.3751,0.0245,0.829,2.0075,30,0.0,0.0,0.0,0.0,0.0,12.0381,0.0,166.307,4.195,1.2734
Ceddanne Rafaela-H,Ceddanne Rafaela,"2B,OF",Add,—,2B,5.2384,1.561,-0.1044,0.5184,2.1404,25,69.5042,16.1317,63.5353,19.6118,0.704,0.0,0.0,0.0,0.0,0.0
José Caballero-H,José Caballero,"2B,3B,SS,OF",Add,—,Bench,4.3487,1.6281,-4.3948,0.4353,1.3857,29,46.9783,6.7037,31.403,39.5925,0.6641,0.0,0.0,0.0,0.0,0.0
Yainer Diaz-H,Yainer Diaz,C,Add,—,Bench,3.4392,1.7698,-7.4758,0.2438,2.857,27,57.6575,19.6063,67.4355,1.1214,0.7471,0.0,0.0,0.0,0.0,0.0
Cody Bellinger-H,Cody Bellinger,OF,Drop,OF,—,6.4458,1.5194,-0.8705,0.6311,2.4133,30,76.664,22.4462,79.2618,11.1172,0.7601,0.0,0.0,0.0,0.0,0.0
Daulton Varsho-H,Daulton Varsho,OF,Drop,Bench,—,5.6249,1.1402,0.4947,0.5545,2.0565,29,71.0263,26.4731,74.3865,8.0383,0.7291,0.0,0.0,0.0,0.0,0.0
Aaron Nola-P,Aaron Nola,SP,Drop,SP,—,5.5618,1.6626,-0.6487,0.793,2.4672,32,0.0,0.0,0.0,0.0,0.0,9.9902,0.0,162.065,4.1624,1.2339
Wilyer Abreu-H,Wilyer Abreu,OF,Drop,Bench,—,5.389,1.2665,-0.828,0.5324,2.0404,26,63.9699,21.8888,70.3604,7.9847,0.7749,0.0,0.0,0.0,0.0,0.0
Bo Bichette-H,Bo Bichette,SS,Drop,Bench,—,5.0587,1.9,-1.6177,0.1716,3.1312,28,74.4289,17.1658,76.2682,5.5094,0.7711,0.0,0.0,0.0,0.0,0.0
Ezequiel Tovar-H,Ezequiel Tovar,SS,Drop,Bench,—,5.0207,1.1927,-1.231,0.17,2.2697,24,76.4018,19.6841,71.0195,8.2351,0.7327,0.0,0.0,0.0,0.0,0.0
Bryce Miller-P,Bryce Miller,SP,Drop,Bench,—,4.5206,0.8225,-0.4843,0.6764,1.5049,27,0.0,0.0,0.0,0.0,0.0,8.502,0.0,126.297,4.1752,1.2062
Marcus Semien-H,Marcus Semien,2B,Drop,2B,—,4.3767,1.4568,-2.3589,0.1681,2.3816,35,72.7002,18.1192,67.1583,9.4604,0.7084,0.0,0.0,0.0,0.0,0.0
Steven Kwan-H,Steven Kwan,OF,Drop,Bench,—,4.1981,1.5148,-3.3054,0.4212,2.7972,28,78.9084,8.5127,53.6649,17.464,0.7125,0.0,0.0,0.0,0.0,0.0
Cade Smith-P,Cade Smith,RP,Keep,RP,RP,13.3072,0.6601,5.1214,0.6867,1.3154,26,0.0,0.0,0.0,0.0,0.0,4.8962,31.5573,88.3038,2.9352,1.0452
Andrés Muñoz-P,Andrés Muñoz,RP,Keep,RP,RP,12.4156,1.1765,4.778,0.6443,0.7722,27,0.0,0.0,0.0,0.0,0.0,3.6592,33.9686,76.6975,2.9092,1.1221
Julio Rodríguez-H,Julio Rodríguez,OF,Keep,OF,OF,11.4426,3.1463,3.3168,1.0977,5.5608,25,94.5235,29.8507,91.3902,28.1172,0.8098,0.0,0.0,0.0,0.0,0.0
Bryan Woo-P,Bryan Woo,SP,Keep,SP,SP,10.8423,2.1292,2.4425,1.3847,3.4164,26,0.0,0.0,0.0,0.0,0.0,13.3607,0.0,185.211,3.4083,1.0361
Cal Raleigh-H,Cal Raleigh,C,Keep,C,C,9.9246,3.0744,3.9941,0.5171,5.3244,29,85.3398,39.4837,100.466,7.9048,0.8224,0.0,0.0,0.0,0.0,0.0
Logan Gilbert-P,Logan Gilbert,SP,Keep,SP,SP,9.7919,2.0121,1.7582,1.267,3.3356,28,0.0,0.0,0.0,0.0,0.0,10.5284,0.0,187.772,3.4276,1.0464
Max Fried-P,Max Fried,SP,Keep,SP,SP,9.594,2.4995,1.7289,1.2449,3.63,32,0.0,0.0,0.0,0.0,0.0,14.1563,0.0,170.998,3.321,1.175
Trea Turner-H,Trea Turner,SS,Keep,SS,UTIL,8.5685,2.714,-0.1168,0.3157,4.2632,32,89.3717,17.9115,71.0153,27.6463,0.7732,0.0,0.0,0.0,0.0,0.0
Bryce Harper-H,Bryce Harper,1B,Keep,1B,1B,8.3835,2.1199,0.4649,0.2707,3.4366,33,82.2577,26.332,84.3501,9.3511,0.851,0.0,0.0,0.0,0.0,0.0
Randy Arozarena-H,Randy Arozarena,OF,Keep,OF,OF,8.0505,1.2873,0.1868,0.781,2.1445,31,85.7958,22.9148,72.6389,24.3034,0.7367,0.0,0.0,0.0,0.0,0.0
Sonny Gray-P,Sonny Gray,SP,Keep,SP,SP,7.7359,2.2912,0.5607,1.0366,3.4666,36,0.0,0.0,0.0,0.0,0.0,11.7757,0.0,177.361,3.8102,1.1876
Manny Machado-H,Manny Machado,3B,Keep,3B,3B,7.2806,1.6342,0.3665,0.2716,2.9112,33,79.065,26.3238,88.503,9.3513,0.7749,0.0,0.0,0.0,0.0,0.0
Luis Castillo-P,Luis Castillo,SP,Keep,Bench,Bench,6.8382,1.3555,0.6487,0.9361,2.2532,33,0.0,0.0,0.0,0.0,0.0,10.8914,0.0,160.089,3.8977,1.1903
Jo Adell-H,Jo Adell,OF,Keep,OF,OF,6.6518,0.7788,0.2437,0.6503,1.2783,26,68.4727,30.0692,82.422,8.6685,0.7516,0.0,0.0,0.0,0.0,0.0
Taylor Ward-H,Taylor Ward,OF,Keep,Bench,OF,6.4802,1.3663,1.2874,0.6343,2.4298,32,80.3044,27.1087,83.3219,4.7864,0.7672,0.0,0.0,0.0,0.0,0.0
Dansby Swanson-H,Dansby Swanson,SS,Keep,UTIL,SS,6.2743,1.9099,-0.8967,0.2215,3.1411,32,78.4082,21.9336,75.127,15.8042,0.7152,0.0,0.0,0.0,0.0,0.0
Ian Happ-H,Ian Happ,OF,Keep,OF,OF,5.7638,1.4695,-1.2874,0.5674,2.3397,31,79.9554,21.3498,74.6891,7.8547,0.7559,0.0,0.0,0.0,0.0,0.0
Alec Burleson-H,Alec Burleson,"1B,OF",Keep,Bench,Bench,4.6757,0.8691,-3.299,0.4658,1.2941,27,64.6766,19.7988,73.2851,5.8213,0.7538,0.0,0.0,0.0,0.0,0.0
Ryne Nelson-P,Ryne Nelson,"SP,RP",Keep,Bench,Bench,4.0228,0.8968,-0.8345,0.6206,1.6215,28,0.0,0.0,0.0,0.0,0.0,8.7669,0.0377,129.9,4.2174,1.2642
