Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,12.334092019706489,7.929172724701524,19.952072583577372,2.81086,28.266106007892606,28.266106007892606,0.0,0.0,,176.45558333333332,704.1316668677362,141.40649519935926,60.49476675176666,55.11016188884439,17.97883338948264,38.45895216591995,0.3217919505836024,6.288590265687183,214.00268858575492,10.9151,1.96158,5.56444,0.917,0.303924,0.054619,0.2493051365017891,0.214452,1.01932,0.288785,0.771651,0.423339,,2.79489,5.174543529492987,5.119822114893333,6.110000133514404,,,,,,,1014.9298688458939,5.745,946.0312354516557,5.355,4.1,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,Tarik Skubal,22267,669373.0
Paul Skenes,PIT,11.911635093410728,8.222528469290966,18.932525097998784,2.91724,28.479063005845905,28.479063005845905,0.0,0.0,,172.63830000000002,698.9385041137838,140.67233171737584,61.54619205900548,55.958421903114726,15.575733540328486,45.899349858234274,0.4472992833355673,6.380645069387882,210.9310701235166,10.9963,2.39284,4.59552,0.812,0.301788,0.0656701,0.2361180335283279,0.217538,1.08071,0.297742,0.758808,0.444132,,2.77289,5.070020790444475,5.1074262597612154,9.630000114440918,,,,,,,979.3237791135261,5.6721649484536085,919.3397526574631,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.54,3.4,3.29,3.18,3.08,2.98,2.86,2.7,Paul Skenes,33677,694973.0
Garrett Crochet,BOS,10.77926870131273,7.122449254362085,16.487565684149576,3.00928,25.407261068332858,25.407261068332858,0.0,0.0,,153.12241666666665,614.2102146271378,124.93703039589329,56.0577074465704,51.198727562633415,15.499382023973105,39.47835803181146,0.391271820452326,4.768704709453562,189.61438935296812,11.1448,2.3204,4.80299,0.911,0.308712,0.064275,0.2444370090961456,0.219202,1.07375,0.299952,0.759252,0.455553,,2.84129,4.43844207464157,4.2730805039321424,10.229999542236328,,,,,,,860.6709686897756,5.616580310880829,805.8865620111828,5.259067357512953,4.38,3.93,3.64,3.4,3.2,3.0,2.81,2.6,2.33,3.83,3.62,3.49,3.37,3.27,3.17,3.07,2.95,2.8,Garrett Crochet,27463,676979.0
Cristopher Sánchez,PHI,12.14667219459241,8.387958952184999,18.92750119386029,3.16293,28.74526772866123,28.74526772866123,0.0,0.0,,177.91075,730.0399713463432,164.54689537502207,69.62103843881751,62.52437081038096,15.853823613011537,45.46908483527303,0.44528216290929284,6.000215322511423,172.27308436671632,8.71482,2.30015,3.7888,0.802,0.235978,0.062283,0.1736949533224105,0.242491,1.18046,0.303181,0.747495,0.544945,,3.22485,4.220847318522632,4.523921252240539,27.770000457763672,,,,,,,878.5272449572088,4.9393939393939394,867.7477695589608,4.878787878787879,4.61,4.17,3.87,3.64,3.43,3.23,3.04,2.82,2.55,4.03,3.84,3.71,3.6,3.5,3.4,3.3,3.19,3.04,Cristopher Sanchez,20778,650911.0
Cole Ragans,KCR,11.039998554162937,7.9288846983261445,16.42208756789018,3.22759,27.181232033856922,27.181232033856922,0.0,0.0,,160.34503333333333,661.762328794661,129.35880167114294,62.56968607349231,57.50312679376577,16.622404672282357,57.96052839043976,0.5565814008030167,5.2445049997287105,196.1905161132362,11.012,3.25326,3.3849,0.933,0.296467,0.0875851,0.2088820412755012,0.216118,1.16823,0.292257,0.760447,0.399122,,3.21824,3.9604154999728713,4.047300364097556,48.88999938964844,,,,,,,844.5197607227151,5.267441860465116,784.8627356826998,4.895348837209302,4.7,4.21,3.88,3.63,3.4,3.19,2.98,2.75,2.46,4.09,3.87,3.72,3.6,3.48,3.38,3.26,3.13,2.97,Cole Ragans,21846,666142.0
Chris Sale,ATL,10.626570841467155,6.624523250462318,15.65672000311508,3.19214,24.314226926157772,24.314226926157772,0.0,0.0,,148.79441666666668,605.3474408119976,123.4286921272535,57.37654318939686,52.7746740379842,15.970580121933132,39.0775712492954,0.46191733942504526,7.600712092592044,181.39613989477954,10.972,2.36365,4.64196,0.966,0.299657,0.064554,0.235103003680706,0.220934,1.09215,0.29742,0.750137,0.416999,,3.03338,3.6646943139258914,3.8118863223909973,35.20000076293945,,,,,,,808.8850657133534,5.4213017751479295,761.0335370496732,5.100591715976331,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.72,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,Chris Sale,10603,519242.0
Jacob deGrom,TEX,7.793022117256017,6.1868443882904165,11.762683600576667,3.47434,19.851711345160385,19.851711345160385,0.0,0.0,,118.99929999999999,486.307018813824,102.87216728204717,49.518786841936645,45.93819439269552,15.919493075968122,27.075596607664888,0.29906916302911374,3.629813256177165,137.85025634936525,10.4257,2.04775,5.09132,1.204,0.283464,0.0556759,0.2277880497276783,0.225794,1.09201,0.288084,0.747061,0.378991,,3.33151,2.7763054019062112,2.3772288178687275,46.5099983215332,,,,,,,604.8781046013374,5.0771428571428565,575.263926154339,4.828571428571428,4.98,4.47,4.13,3.87,3.63,3.41,3.2,2.96,2.65,4.38,4.14,3.97,3.84,3.71,3.6,3.47,3.33,3.15,Jacob deGrom,10954,594798.0
Logan Webb,SFG,12.4742,10.5164,20.7265,3.32235,32.0,32.0,0.0,0.0,,199.392,830.798,193.719,81.8859,73.6054,16.8154,47.1653,0.7552,6.0499,186.931,8.43758,2.12891,3.96332,0.759,0.225002,0.0567711,0.1682310439646244,0.24913,1.2081,0.308283,0.731556,0.546891,,3.15712,4.06519,3.93109,56.2599983215332,,,,,,,974.1000000000004,4.894974874371861,989.0,4.969849246231155,4.8,4.35,4.05,3.82,3.61,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,Logan Webb,17995,657277.0
Sonny Gray,BOS,10.60570832622948,9.197799257302817,15.67191668546017,3.68076,28.33122459568696,28.33122459568696,0.0,0.0,,166.92871666666667,696.6977646546131,157.38372644388326,74.23121407848424,68.26941502621901,19.53068838372198,43.90446982966378,0.4612338091260148,5.20777243794468,174.731308963536,9.42066,2.36712,3.9798,1.053,0.250799,0.063018,0.1877810731530189,0.243032,1.20583,0.304094,0.730442,0.450969,,3.44529,3.564708682217946,3.190797266769411,117.30999755859376,,,,,,,786.5182396690875,4.720994475138122,782.3762477691331,4.696132596685083,5.2,4.71,4.39,4.13,3.9,3.69,3.47,3.23,2.93,4.55,4.34,4.2,4.09,3.98,3.88,3.77,3.65,3.48,Sonny Gray,12768,543243.0
Dylan Cease,TOR,12.313963836956853,9.744912232392243,17.310820543014326,3.60556,31.89758714393648,31.89758714393648,0.0,0.0,,184.26538333333332,775.202076361097,156.82747759195843,79.80517135517364,73.82008752741308,22.378051300708112,67.3743826053021,1.1752267263344098,5.869853794203086,215.3495820050994,10.5182,3.29074,3.19631,1.093,0.277798,0.086912,0.1908859685063362,0.223414,1.21673,0.289617,0.748663,0.382153,,3.56901,3.7868416737442088,3.256065823669106,73.56999969482422,,,,,,,897.3189983428632,4.865945945945946,846.2828589125647,4.589189189189189,5.07,4.59,4.28,4.02,3.8,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.4,Dylan Cease,18525,656302.0
Framber Valdez,,12.026742031088048,9.868284646819061,19.07550257759756,3.47559,30.59794514244895,30.59794514244895,0.0,0.0,,189.25793333333334,790.5503010498082,179.34889118973587,80.93653532821386,73.08693967427236,16.002784954618036,62.353104967819434,0.41980221681793994,7.79879789576155,177.454164632182,8.43869,2.96515,2.84595,0.761,0.224469,0.078873,0.1455960050225258,0.248958,1.27711,0.309989,0.733091,0.559,,3.4711,3.6976195162688748,3.7934592788154475,94.37000274658205,,,,,,,880.9583815866881,4.66421052631579,881.7536498165114,4.668421052631579,5.0,4.53,4.22,3.97,3.75,3.55,3.34,3.11,2.82,4.37,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,Framber Valdez,17295,664285.0
Max Fried,NYY,11.238768617988324,8.023664788633509,17.1374140828468,3.33384,27.03037225630035,27.03037225630035,0.0,0.0,,166.3571,694.8913301234203,155.9743809881014,68.20303878981599,61.623013668243296,16.56176726627744,47.670933121720495,0.5544826849456803,6.52917851489173,157.16167999039243,8.50252,2.57902,3.2968,0.896,0.226167,0.068602,0.1575649082660675,0.243448,1.22415,0.298549,0.750544,0.506053,,3.51733,3.2015183888478314,3.2470080991427097,58.20000076293945,,,,,,,770.2514459389552,4.640740740740742,766.6509090237233,4.619047619047619,4.83,4.36,4.05,3.81,3.59,3.39,3.19,2.96,2.68,4.21,4.02,3.88,3.77,3.67,3.57,3.47,3.35,3.2,Max Fried,13743,608331.0
