Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",147.116,646.074,524.535,151.045,76.4595,24.4086,0.766221,49.4105,106.417,120.052,109.978,18.4081,160.965,6.07648,4.34015,0.513502,9.18331,8.00734,2.83546,0.287959,0.170225,0.249144,0.683241,0.414152,0.62001,0.427148,1.03416,0.332051,3.47697,0.319103,,-0.709091,136.186,59.8475,179.918,-0.709091,0,60.146560966968536,-7.189310550689697,7.69329,2,,,,,,,1211.3,8.240136054,1211.3,8.240136054,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",150.848,629.367,543.749,127.52,59.8158,23.1738,0.483504,44.0465,87.2688,112.893,74.0741,6.93785,172.083,6.28913,4.44251,0.502462,6.52123,7.76969,2.2502,0.234519,0.117696,0.273423,0.430455,0.330732,0.521932,0.359171,0.852664,0.287413,3.46037,0.251378,,-0.247175,97.9291,23.5645,138.495,-0.247175,14.95,28.307482361793518,21.74367094039917,7.33713,19.139999389648438,,,,,,,902.7,5.978145695,902.7,5.978145695,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Juan Soto","NYM",154.969,681.449,549.799,146.631,83.6696,24.8394,0.635212,37.4869,107.837,97.906,122.502,8.87127,121.247,4.1748,3.89059,1.08287,13.9234,17.3409,5.71368,0.2667,0.179767,0.177925,1.01035,0.401707,0.518738,0.393004,0.920445,0.252039,4.06333,0.276346,,-0.20174,124.752,44.2332,158.106,-0.20174,0,46.728272169828415,-7.369714736938477,6.3465,4.659999847412109,,,,,,,1095.7,7.069032258,1095.7,7.069032258,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",149.72,670.6,569.198,161.745,81.6448,26.7844,5.65591,47.6598,124.24,118.241,90.6933,13.6428,158.101,4.85058,3.69885,0.744139,8.60088,23.5119,10.7202,0.284163,0.135242,0.235761,0.57364,0.384909,0.602287,0.409932,0.987196,0.318124,6.24798,0.310744,,-0.767426,131.982,52.7458,166.911,-0.767426,0,52.41325730085373,-14.133561134338379,6.19919,1.090000033378601,,,,,,,1204.7,8.031333333,1204.7,8.031333333,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Bobby Witt Jr.","KCR",153.223,667.582,606.323,172.804,102.598,36.6021,6.14657,27.4571,101.778,91.4834,48.0693,5.03245,114.931,6.52808,5.80453,0.85698,6.99403,35.2494,9.94978,0.285003,0.072005,0.172161,0.418243,0.341072,0.501499,0.357432,0.84257,0.216496,7.12389,0.30942,,1.97074,102.933,24.0531,127.749,1.97074,0,23.804200530052185,7.093657493591309,5.51208,3.200000047683716,,,,,,,961.6,6.28496732,961.6,6.28496732,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.732,658.353,581.85,156.765,92.7962,33.0613,3.84824,27.0597,97.3753,83.4197,64.8891,3.14538,141.402,5.74403,5.35001,0.519643,12.0009,20.2928,5.10805,0.269426,0.0985628,0.214782,0.458897,0.345678,0.478993,0.353369,0.824671,0.209567,5.88141,0.309754,,0.908589,99.3382,21.5488,129.411,0.908589,0,23.7299867272377,7.070925712585449,5.46966,14.489999771118164,,,,,,,906.5,5.924836601,906.5,5.924836601,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",152.067,662.604,600.935,166.45,104.446,28.2632,3.87495,29.8664,95.7712,92.1228,47.9723,3.62701,148.413,9.27446,3.87697,0.545742,11.2889,25.414,7.05057,0.276986,0.0723996,0.223985,0.323235,0.337881,0.486014,0.3522,0.823895,0.209028,6.0786,0.320219,,1.15197,99.3504,21.0586,133.692,1.15197,0,27.464255690574646,2.155144453048706,5.36375,10.710000038146973,,,,,,,913.5,6.009868421,913.5,6.009868421,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",153.163,673.796,594.163,154.099,94.3528,28.9829,1.71913,29.0442,94.6063,86.1405,57.3317,1.12002,125.582,10.3267,4.9037,0.733669,10.1099,23.8429,6.70487,0.259355,0.0850876,0.18638,0.456528,0.332607,0.460569,0.342198,0.793176,0.201214,5.51682,0.281376,,0.960667,95.5572,15.943,123.303,0.960667,0,19.57015597820282,6.608506679534912,4.97198,17,,,,,,,863.5,5.643790849,863.5,5.643790849,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"José Ramírez","CLE",153.117,658.363,584.834,161.985,95.3951,33.923,3.18282,29.4839,95.4992,91.2642,62.0485,15.1555,75.235,4.5846,5.97942,0.706488,7.21256,33.0521,10.535,0.276976,0.0942467,0.114276,0.824729,0.347736,0.497107,0.354196,0.844843,0.220131,5.91942,0.272583,,1.32657,99.7814,21.9908,129.72,1.32657,0,24.3883855342865,0.21923960745334625,4.83605,5.309999942779541,,,,,,,943.4,6.166013071,943.4,6.166013071,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corey Seager","TEX",125.821,536.949,463.532,128.092,75.7626,23.9543,0.785836,27.5894,71.4292,84.0331,59.8311,8.58216,98.7681,4.72954,4.37771,0.486412,10.5699,1.74092,0.668108,0.276339,0.111428,0.183943,0.605774,0.361809,0.509968,0.36869,0.871777,0.233628,2.61124,0.294253,,-0.79513,87.6986,24.254,139.926,-0.79513,0,24.47213351726532,3.3979437351226807,4.74229,108.13999938964844,,,,,,,787.3,6.248412698,787.3,6.248412698,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
