Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.9127,8.31644,14.3882,2.83997,30.091,30.091,0,0,,186.372,744.538,144.715,62.91,58.81,15.2619,46.4179,0.461607,6.64699,216.024,10.4319,2.24154,4.6539,0.737005,0.290145,0.0623445,0.22780045866966248,0.209285,1.02555,0.281306,0.755291,,,2.73567,6.02513,5.61876,9.510000228881836,,,,,,,1087.9,5.848924731182796,1008,5.419354838709677,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Tarik Skubal","DET",14.4612,7.90438,15.1662,2.81986,29.64,29.64,0,0,,189.488,746.146,143.59,63.73,59.37,19.6964,39.0535,0.496975,6.0446,227.962,10.8274,1.8549,5.83717,0.935506,0.305519,0.0523403,0.25317875668406487,0.204822,0.963878,0.273261,0.766844,,,2.79434,5.99068,5.71598,5.909999847412109,,,,,,,1099.2000000000003,5.815873015873017,1006,5.322751322751323,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",13.2361,8.19254,14.0018,3.15996,29.232,29.232,0,0,,179.917,723.431,144.846,68.11,63.17,20.3364,44.673,0.521719,5.1282,217.13,10.8615,2.23468,4.86042,1.01729,0.300139,0.0617515,0.23838699236512184,0.215023,1.05337,0.285465,0.753868,,,3.02129,5.07127,4.60879,10.369999885559082,,,,,,,993,5.516666666666667,924,5.133333333333334,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.513,9.1803,16.2034,3.36016,30.156,30.156,0,0,,195.098,801.27,181.426,78.16,72.84,15.4782,46.2733,0.855768,6.21608,184.337,8.50358,2.13462,3.98366,0.714021,0.230056,0.0577499,0.17230594530701637,0.242295,1.1671,0.302292,0.725814,,,3.08394,5.01931,4.50282,56.86000061035156,,,,,,,999.9,5.127692307692308,992,5.087179487179487,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",13.6288,8.13222,15.1853,3.3301,29.054,29.054,0,0,,185.589,759.901,168.167,74.12,68.67,16.0113,46.1843,0.474391,5.68467,179.972,8.72758,2.23967,3.89681,0.776457,0.236835,0.0607767,0.17605868354439735,0.237514,1.15498,0.297151,0.730618,,,3.15567,4.59716,4.33895,27.889999389648438,,,,,,,946.8000000000002,5.090322580645163,926,4.978494623655914,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Bryan Woo","SEA",12.9429,8.64886,14.5157,3.32001,29.317,29.317,0,0,,182.575,728.576,149.851,72.03,67.35,23.7056,34.8578,0.485587,6.6365,183.987,9.06963,1.71831,5.27823,1.16856,0.25253,0.0478437,0.20468664169311523,0.218097,1.01169,0.263138,0.743651,,,3.48941,4.34451,4.35888,40.2599983215332,,,,,,,911,4.978142076502732,845,4.617486338797814,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Logan Gilbert","SEA",11.517,8.53224,12.5129,3.43017,28.088,28.088,0,0,,166.321,668.457,135.335,67.89,63.39,21.922,38.4837,0.519014,5.18879,193.995,10.4975,2.08244,5.04096,1.18625,0.290213,0.0575709,0.23264174908399582,0.216611,1.04508,0.277383,0.740099,,,3.30357,4.14261,3.64549,37.16999816894531,,,,,,,865.8000000000002,5.215662650602411,803,4.837349397590361,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Chris Sale","ATL",11.0115,7.74775,12.6716,3.66008,25.718,25.718,0,0,,158.603,655.526,135.52,69.08,64.5,17.9381,44.8359,0.417798,8.39479,194.394,11.031,2.54424,4.33567,1.0179,0.296546,0.0683969,0.22814945876598358,0.225007,1.13716,0.301522,0.716788,,,3.16098,4.11041,3.06676,34.34000015258789,,,,,,,830.6,5.223899371069183,790,4.968553459119497,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Cole Ragans","KCR",10.6017,7.70518,11.2047,3.36972,25.764,25.764,0,0,,151.17,621.824,118.183,60.28,56.6,16.6524,53.8581,0.49941,4.82184,188.987,11.2515,3.20648,3.50899,0.991413,0.303924,0.0866131,0.21731124818325043,0.209862,1.13806,0.283997,0.751447,,,3.23136,3.9399,3.52238,48.83000183105469,,,,,,,802.5000000000002,5.314569536423843,735,4.867549668874172,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Yoshinobu Yamamoto","LAD",12.8061,6.22774,11.9569,3.26999,26.412,26.412,0,0,,158.092,645.652,130.005,61.55,57.44,15.0286,48.3663,0.380903,5.18364,171.514,9.76412,2.75344,3.54616,0.85556,0.265645,0.0749108,0.19073451310396194,0.219565,1.12827,0.2835,0.742517,,,3.21732,3.9284,3.77824,25.09000015258789,,,,,,,831.7,5.2639240506329115,780,4.936708860759493,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Hunter Brown","HOU",12.1416,9.10055,13.9018,3.5901,29.415,29.415,0,0,,178.215,737.901,149.829,75.85,71.09,19.2948,60.5753,0.545427,7.00788,191.815,9.68679,3.0591,3.16655,0.974405,0.259946,0.0820914,0.17785485833883286,0.22352,1.18062,0.28426,0.7337,,,3.52766,3.88121,3.5698,38.65999984741211,,,,,,,873.5,4.907303370786517,823,4.623595505617978,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Max Fried","NYY",13.5318,7.87085,14.498,3.31005,28.888,28.888,0,0,,181.085,744.964,152.22,71.44,66.6,17.0081,57.7013,0.476144,6.82385,169.189,8.40878,2.86778,2.93216,0.845308,0.227111,0.0774551,0.14965564012527466,0.223709,1.15924,0.273575,0.744083,,,3.55649,3.81103,4.33423,57.939998626708984,,,,,,,878.1000000000001,4.851381215469614,827,4.569060773480663,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"George Kirby","SEA",11.0514,8.86533,12.7277,3.66998,27.886,27.886,0,0,,165.998,675.964,149.221,72.37,67.69,20.5485,33.1724,0.444351,6.0351,159.366,8.64044,1.79853,4.80417,1.11409,0.235761,0.0490743,0.18668709322810173,0.234345,1.09877,0.281656,0.716179,,,3.53286,3.79595,3.20469,63.310001373291016,,,,,,,783.7000000000002,4.7210843373493985,758,4.566265060240964,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Jesús Luzardo","PHI",11.5388,8.76297,13.2757,3.78013,28.298,28.298,0,0,,170.137,708.415,149.206,77.07,71.46,20.7076,53.9961,0.477998,5.31053,189.191,10.0079,2.85632,3.50379,1.0954,0.267063,0.076221,0.19084153324365616,0.229863,1.19434,0.292567,0.724016,,,3.53914,3.76519,2.92983,69.83000183105469,,,,,,,813.3000000000001,4.784117647058824,778,4.576470588235294,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
