Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Bobby Witt Jr.,KCR,92,398,359,105,63,23,3,16,59,55,32,4,68,4,3,1,,21,6,0.292461,0.0797772,0.170295,0.468466,0.352839,0.510885,0.371325,0.863723,0.218423,6.65573,0.318909,2.01594,1.37223,64.103,17.2341,133.812,3.38817,3.17178,19.22307276725769,7.436593055725098,4.15325,3.0999999046325684,,,,,,,594.3,6.459782608,594.3,6.459782608,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951
Juan Soto,NYM,91,394,315,87,50,15,1,22,63,57,73,5,70,2,2,1,,12,3,0.275893,0.186405,0.177649,1.04929,0.413157,0.536884,0.410093,0.950041,0.260991,4.49448,0.287529,-0.260068,0.469463,75.6844,29.2837,166.673,0.209395,-3.31561,31.163523226976395,-8.241533756256104,3.61932,4.650000095367432,,,,,,,667.6,7.336263736,667.6,7.336263736,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742
Gunnar Henderson,BAL,89,386,341,90,53,18,3,16,57,49,39,2,86,3,2,0,,14,3,0.265453,0.100205,0.222182,0.451002,0.344045,0.475868,0.3572,0.819913,0.210415,6.37431,0.308076,1.48183,1.06975,57.7673,12.3435,128.661,2.55158,-0.0237477,15.560279607772827,4.109585510566831,3.39508,12.510000228881836,,,,,,,526.9,5.920224719,526.9,5.920224719,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002
Julio Rodríguez,SEA,91,394,357,97,62,17,1,17,55,54,29,3,86,5,2,0,,16,4,0.272189,0.0748915,0.218579,0.342629,0.335282,0.470168,0.350289,0.80545,0.197979,5.66492,0.313361,0.74931,1.16313,56.7935,10.4233,129.04,1.91244,2.4471,15.367792010307312,3.7387659549713135,3.3664,9.489999771118164,,,,,,,522.2,5.738461538,522.2,5.738461538,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594
Shohei Ohtani,LAD,90,390,327,91,47,16,3,26,70,62,57,8,94,3,2,1,,13,4,0.277311,0.145259,0.240765,0.603323,0.386737,0.577511,0.408681,0.964248,0.3002,6.14146,0.30975,0.621429,0.60275,74.4474,28.5352,162.915,1.22418,0.0,30.12642550468445,-9.748147964477539,3.346,1.2699999809265137,,,,,,,684.0,7.6,684.0,7.6,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271
Fernando Tatis Jr.,SDP,92,398,347,93,58,17,2,16,58,48,44,2,81,4,3,1,,17,4,0.267627,0.110182,0.203288,0.541997,0.353675,0.464605,0.358008,0.81828,0.196978,5.85714,0.304086,1.16421,1.13377,59.8818,12.9978,131.744,2.29798,3.62459,17.189374208450317,0.5898663997650146,3.10723,14.010000228881836,,,,,,,550.0,5.978260869,550.0,5.978260869,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487
José Ramírez,CLE,89,386,339,91,54,19,2,16,55,52,41,8,45,2,3,0,,21,5,0.269094,0.106293,0.11658,0.911759,0.349437,0.48002,0.355971,0.829457,0.210926,5.80815,0.266979,1.48704,1.6684,57.3622,11.9586,127.566,3.15545,0.275153,15.661335706710815,0.7436719536781311,3.06092,6.28000020980835,,,,,,,542.4,6.094382022,542.4,6.094382022,,,,,,,,,,,,,,,,,,,Jose Ramirez,13510,608070
Yordan Alvarez,HOU,80,346,293,87,49,17,1,20,51,55,44,6,55,5,3,0,,2,1,0.297857,0.128037,0.160379,0.798344,0.394373,0.565545,0.409055,0.959918,0.267689,2.97564,0.304885,-0.944392,-0.399,66.136,25.4133,163.053,-1.34339,-0.0962561,24.313228487968445,-8.401811487972736,2.86771,33.38999938964844,,,,,,,585.2,7.315,585.2,7.315,,,,,,,,,,,,,,,,,,,Yordan Alvarez,19556,670541
Corbin Carroll,ARI,87,378,327,84,45,17,7,15,60,48,42,1,82,5,3,1,,19,4,0.256063,0.110435,0.216494,0.510108,0.346056,0.487229,0.361702,0.833285,0.231166,8.07899,0.293905,2.74948,1.74507,57.911,13.4436,129.517,4.49454,1.81175,17.627580165863037,-2.1172666549682617,2.80889,14.100000381469727,,,,,,,539.5,6.201149425,539.5,6.201149425,,,,,,,,,,,,,,,,,,,Corbin Carroll,25878,682998
William Contreras,MIL,89,357,311,84,56,16,1,11,46,47,41,2,64,2,2,0,,3,1,0.270852,0.115762,0.178917,0.647015,0.357787,0.432426,0.348938,0.790213,0.161574,3.41644,0.307339,-0.835968,-0.330181,51.0444,9.05347,122.594,-1.16615,1.56931,8.32644259929657,6.502646803855896,2.67111,56.560001373291016,,,,,,,446.8,5.020224719,446.8,5.020224719,,,,,,,,,,,,,,,,,,,William Contreras,20503,661388
