Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Paul Skenes,PIT,8,5,13,2.81909,19,19,0,0,,113.0,451,89,39,35,10,28,,4,134,10.6444,2.25552,4.71928,0.760714,0.296905,0.0629132,0.23399215936660767,0.212646,1.03654,0.288798,0.758074,,,2.70064,3.43242,3.37873,9.649999618530273,,,,,,,653.8000000000001,5.785840707964603,607.0,5.371681415929204,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973
Tarik Skubal,DET,8,4,11,2.733,16,16,0,0,,99.0,390,78,33,30,9,20,,3,118,10.7016,1.80774,5.91989,0.84429,0.302941,0.0511733,0.25176721066236496,0.211536,0.981582,0.285281,0.766259,,,2.64906,3.06992,3.09493,7.019999980926514,,,,,,,586.0999999999999,5.920202020202019,545.0,5.505050505050505,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373
Cristopher Sánchez,PHI,8,5,12,3.13192,19,19,0,0,,118.0,484,106,45,41,10,30,,4,119,9.0148,2.26708,3.97639,0.745562,0.244774,0.061557,0.1832173764705658,0.236161,1.1516,0.299742,0.746747,,,3.02546,3.04766,3.02491,24.75,,,,,,,610.6,5.1745762711864405,596.0,5.0508474576271185,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,650911
Logan Webb,SFG,8,6,11,3.36343,18,18,0,0,,112.0,466,109,46,42,9,27,,3,105,8.43395,2.15715,3.90977,0.692385,0.225965,0.0577949,0.16816990450024605,0.249909,1.20845,0.311565,0.728813,,,3.04245,2.59336,2.29155,57.189998626708984,,,,,,,554.7000000000002,4.952678571428573,563.0,5.026785714285714,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277
Jesús Luzardo,PHI,8,6,11,3.56492,19,19,0,0,,113.0,462,97,49,45,13,34,,3,126,10.0688,2.72612,3.69346,1.04067,0.272877,0.0738811,0.19899600744247437,0.227503,1.15991,0.292731,0.730803,,,3.36881,2.54366,2.23737,70.58999633789062,,,,,,,565.1000000000001,5.0008849557522135,537.0,4.752212389380531,,,,,,,,,,,,,,,,,,,Jesus Luzardo,19959,666200
Chris Sale,ATL,8,4,10,3.23102,17,17,0,0,,103.0,422,86,40,37,11,28,,6,126,10.9615,2.4788,4.42211,0.949653,0.298642,0.0675337,0.2311079278588295,0.221555,1.10502,0.299087,0.746687,,,3.042,2.52672,2.50485,39.36000061035156,,,,,,,553.3000000000001,5.371844660194175,522.0,5.067961165048544,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242
Zack Wheeler,PHI,7,4,10,3.31067,17,17,0,0,,104.0,420,85,41,38,12,29,,5,119,10.3297,2.51453,4.10801,1.0372,0.283053,0.0689026,0.21414988487958908,0.219864,1.09971,0.285681,0.745839,,,3.27879,2.41844,2.51288,110.48999786376953,,,,,,,537.0,5.163461538461538,500.0,4.8076923076923075,,,,,,,,,,,,,,,,,,,Zack Wheeler,10310,554430
Dylan Cease,TOR,6,5,10,3.58978,18,18,0,0,,103.0,426,84,44,41,11,41,,3,125,10.9423,3.56425,3.07003,0.974185,0.292566,0.0952976,0.1972687989473343,0.219389,1.21388,0.295203,0.73454,,,3.36365,2.41014,2.06601,74.7699966430664,,,,,,,526.5000000000001,5.111650485436894,490.0,4.757281553398058,,,,,,,,,,,,,,,,,,,Dylan Cease,18525,656302
Jacob deGrom,TEX,6,4,10,3.38171,17,17,0,0,,100.0,399,82,41,38,13,23,,3,115,10.3544,2.07618,4.98723,1.16672,0.288563,0.0578603,0.23070231452584267,0.21953,1.04921,0.281362,0.738476,,,3.26419,2.38242,2.15969,50.0099983215332,,,,,,,518.9000000000001,5.189000000000001,483.0,4.83,,,,,,,,,,,,,,,,,,,Jacob deGrom,10954,594798
Yoshinobu Yamamoto,LAD,7,4,9,3.32888,15,15,0,0,,91.0,370,75,37,34,9,27,,3,98,9.65261,2.63428,3.66423,0.915319,0.263801,0.0719937,0.19180766493082047,0.220302,1.11706,0.281438,0.733597,,,3.25267,2.21353,1.98449,26.639999389648438,,,,,,,473.69999999999993,5.205494505494505,444.0,4.8791208791208796,,,,,,,,,,,,,,,,,,,Yoshinobu Yamamoto,33825,808967
