Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Bobby Witt Jr.,KCR,87.73,397.663,356.563,102.731,61.6116,22.6535,2.5366,15.9289,60.5494,52.5095,33.0856,3.9766,68.1748,3.579,2.7841,1.6515,,22.33,7.1291,0.288114,0.0832001,0.171439,0.485305,0.351998,0.499895,0.367339,0.851893,0.211781,6.50903,0.315364,1.304,1.042,62.7726,15.9493,131.102,2.346,3.72,16.897380590438843,8.10700011253357,3.98276,3.0999999046325684,,,,,,,587.2,6.672727272,587.2,6.672727272,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951
Juan Soto,NYM,88.52,395.807,313.755,85.6736,49.4343,13.6087,1.1692,21.4613,63.3134,58.1462,76.3115,6.3329,66.7356,1.979,2.8767,0.8846,,12.2006,4.2201,0.273059,0.1928,0.168607,1.14349,0.415181,0.52909,0.407522,0.944271,0.256031,4.64697,0.281097,-0.38,0.0659803,75.203,28.5983,164.927,-0.31402,-3.47,29.96203663945198,-8.634000062942505,3.46209,4.650000095367432,,,,,,,656.9,7.380898876,656.9,7.380898876,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742
Julio Rodríguez,SEA,87.02,391.198,353.204,94.6835,58.6157,17.3269,1.0123,17.7286,53.829,53.4416,29.3008,1.956,83.2854,4.6944,2.7967,1.2029,,13.0553,3.8776,0.268071,0.0749001,0.212898,0.351812,0.329949,0.47344,0.348956,0.803389,0.20537,5.30732,0.3018,0.325,0.540218,55.9989,9.93673,128.133,0.865218,2.839,13.813860595226288,4.171000003814697,3.24241,9.489999771118164,,,,,,,518.7,5.962068965,518.7,5.962068965,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594
Junior Caminero,TBR,90.81,404.853,361.618,98.4643,56.4,17.4601,0.4757,24.1286,58.3655,63.8404,36.8011,2.0243,73.1554,2.4291,2.8729,1.1312,,2.9818,1.0917,0.272288,0.0909,0.180696,0.503054,0.341063,0.523374,0.37221,0.864437,0.251086,3.14242,0.278195,-0.053,-0.347257,65.4852,17.8153,136.545,-0.400257,-0.852,17.006864547729492,0.15699994564056396,3.20758,16.479999542236328,,,,,,,581.6,6.391208791,581.6,6.391208791,,,,,,,,,,,,,,,,,,,Junior Caminero,28163,691406
Gunnar Henderson,BAL,86.84,394.249,345.605,89.4001,53.5774,17.9124,2.1544,15.756,56.0348,48.5291,40.3711,1.577,85.0879,3.9425,2.7025,1.6282,,12.0847,3.6506,0.258677,0.1024,0.215823,0.474463,0.340567,0.459743,0.350044,0.80031,0.201066,5.75071,0.297596,1.124,0.409247,56.7788,10.3575,123.795,1.53325,-0.73,12.570537447929382,3.611999988555908,3.06924,12.510000228881836,,,,,,,510.0,5.862068965,510.0,5.862068965,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002
Yordan Alvarez,HOU,80.87,364.682,304.187,90.2045,51.5854,17.5447,0.638,20.4363,59.0898,55.1966,51.1649,8.7524,62.4497,5.4702,2.5913,1.2683,,1.7526,0.5905,0.296543,0.1403,0.171244,0.819298,0.404056,0.559964,0.410328,0.964021,0.263422,3.12202,0.311615,-0.664,-0.418539,70.108,27.1681,163.918,-1.08254,-0.101,26.3421950340271,-9.163999728858471,3.06476,33.38999938964844,,,,,,,614.9,7.591358024,614.9,7.591358024,,,,,,,,,,,,,,,,,,,Yordan Alvarez,19556,670541
Shohei Ohtani,LAD,87.75,406.821,338.28,91.9015,48.5625,15.9302,3.1616,24.2472,71.8922,57.2152,60.3315,9.7637,97.3909,3.2546,2.5034,2.4508,,11.6158,3.4501,0.271673,0.1483,0.239395,0.619478,0.384518,0.55249,0.397368,0.937008,0.280817,6.22493,0.308718,0.11,0.365564,73.9912,26.0896,155.233,0.475564,0.0,26.948193609714508,-10.237000465393066,3.02613,1.2699999809265137,,,,,,,669.7,7.610227272,669.7,7.610227272,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271
Fernando Tatis Jr.,SDP,88.89,407.97,354.481,96.091,61.8027,17.6903,1.294,15.304,59.2245,45.9711,44.5911,2.0399,79.3329,4.0797,2.6248,2.1931,,18.2283,4.8455,0.271075,0.1093,0.194458,0.562076,0.356752,0.457799,0.357622,0.814551,0.186724,5.61857,0.307796,0.322,1.0836,61.228,13.1911,131.482,1.4056,1.672,16.536889910697937,-1.4899998903274536,2.85983,14.010000228881836,,,,,,,549.7,6.176404494,549.7,6.176404494,,,,,,,,,,,,,,,,,,,Fernando Tatis Jr.,19709,665487
Nick Kurtz,ATH,87.93,399.301,328.286,85.8449,45.999,16.2678,1.2622,22.316,64.5335,55.3358,63.7683,5.9895,112.569,2.7951,2.646,1.8057,,5.1844,1.5573,0.261495,0.1597,0.281916,0.566481,0.383422,0.522671,0.389814,0.906092,0.261176,4.48234,0.32405,-0.092,-0.166417,70.2103,23.1942,146.581,-0.258417,-0.544,21.624631732702255,-7.872000098228455,2.83914,19.8700008392334,,,,,,,617.4,7.01590909,617.4,7.01590909,,,,,,,,,,,,,,,,,,,Nick Kurtz,35110,701762
Corbin Carroll,ARI,88.02,397.618,342.201,88.2807,48.7223,16.3414,7.189,16.028,60.1956,51.6994,45.9249,1.5905,82.094,5.169,2.7723,1.5511,,16.8237,4.2851,0.257979,0.1155,0.206464,0.559418,0.351897,0.488263,0.364999,0.84016,0.230284,7.5506,0.292697,1.96,1.08663,62.0212,15.2032,131.757,3.04663,1.371,17.922807216644287,-2.9019997119903564,2.8236,14.100000381469727,,,,,,,561.6,6.381818181,561.6,6.381818181,,,,,,,,,,,,,,,,,,,Corbin Carroll,25878,682998
