Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Paul Skenes,PIT,7.6473,5.2927,11.7707,2.96287,18.5679,18.5679,0.0,0.0,,109.607,445.016,89.9321,39.5973,36.0836,10.0352,29.3057,,4.4359,132.036,10.8417,2.40633,4.50548,0.824,0.2967,0.0658531,0.23084697872400284,0.218667,1.08786,0.296791,0.757121,,,2.80907,3.21086,3.07856,9.649999618530273,,,,,,,622.0,5.654545454545454,585.0,5.318181818181818,,,,,,,,,,,,,,,,,,,Paul Skenes,33677,694973
Cristopher Sánchez,PHI,8.1075,5.2497,13.07,2.91451,18.5679,18.5679,0.0,0.0,,116.99,475.57,103.325,42.4197,37.8854,9.43721,29.5814,,3.7608,120.986,9.30743,2.27568,4.08995,0.726,0.254403,0.062202,0.192200917750597,0.233647,1.13605,0.301113,0.755982,,,2.93994,3.16356,3.31796,24.75,,,,,,,627.3000000000002,5.361538461538463,608.0,5.196581196581197,,,,,,,,,,,,,,,,,,,Cristopher Sanchez,20778,650911
Tarik Skubal,DET,6.9242,4.4394,11.1182,2.77944,15.98,15.98,0.0,0.0,,98.4235,393.065,79.2051,33.4602,30.3958,9.4924,21.7345,,3.5647,117.07,10.7051,1.98744,5.38637,0.868,0.297839,0.0552949,0.24254408851265907,0.215368,1.02556,0.289021,0.769871,,,2.75059,2.8483,2.96366,7.019999980926514,,,,,,,565.1,5.766326530612245,529.0,5.3979591836734695,,,,,,,,,,,,,,,,,,,Tarik Skubal,22267,669373
Chris Sale,ATL,7.124,4.8548,10.9547,3.12582,16.92,16.92,0.0,0.0,,103.15,421.194,84.7632,39.0895,35.8255,10.315,28.3788,,6.0176,124.708,10.8809,2.47609,4.39441,0.9,0.296082,0.067377,0.2287050560116768,0.219141,1.09686,0.295694,0.750271,,,2.98698,2.5886,2.60826,39.36000061035156,,,,,,,566.2,5.497087378640777,533.0,5.174757281553398,,,,,,,,,,,,,,,,,,,Chris Sale,10603,519242
Jacob deGrom,TEX,6.5067,5.2977,9.676,3.38048,17.1,17.1,0.0,0.0,,98.6133,401.356,83.1089,39.8699,37.04,12.9731,22.9227,,2.8296,116.814,10.6611,2.09205,5.09601,1.184,0.291049,0.0571131,0.23393622040748596,0.221268,1.07523,0.285318,0.752957,,,3.2291,2.42111,2.2237,50.0099983215332,,,,,,,512.9000000000001,5.180808080808082,482.0,4.8686868686868685,,,,,,,,,,,,,,,,,,,Jacob deGrom,10954,594798
Dylan Cease,TOR,6.8039,5.3079,9.8967,3.31737,17.67,17.67,0.0,0.0,,100.52,419.707,80.2501,40.2918,37.0513,10.7668,38.9077,,3.3988,125.406,11.2281,3.48359,3.22315,0.964,0.298793,0.0927021,0.20609090477228165,0.212639,1.18542,0.28804,0.757713,,,3.26452,2.39953,2.28912,74.7699966430664,,,,,,,528.1000000000001,5.22871287128713,486.0,4.811881188118812,,,,,,,,,,,,,,,,,,,Dylan Cease,18525,656302
Zack Wheeler,PHI,6.8324,5.0918,10.48,3.28,16.92,16.92,0.0,0.0,,101.996,418.016,87.0001,40.5036,37.1719,11.5482,26.9683,,4.8749,113.145,9.98376,2.37965,4.19548,1.019,0.270671,0.064515,0.20615622401237488,0.225288,1.11738,0.288557,0.751167,,,3.29446,2.36663,2.39026,110.48999786376953,,,,,,,511.00000000000006,5.009803921568628,484.0,4.745098039215686,,,,,,,,,,,,,,,,,,,Zack Wheeler,10310,554430
Logan Webb,SFG,6.7434,5.9208,11.2561,3.39009,17.67,17.67,0.0,0.0,,109.749,460.551,107.227,46.0034,41.34,8.43851,29.9897,,3.7305,99.0849,8.12546,2.45931,3.30396,0.692,0.215144,0.065117,0.15002724528312683,0.251216,1.25027,0.309383,0.727362,,,3.22023,2.25688,2.11769,57.189998626708984,,,,,,,533.4000000000001,4.84909090909091,542.0,4.927272727272728,,,,,,,,,,,,,,,,,,,Logan Webb,17995,657277
Jesús Luzardo,PHI,7.1102,5.7593,10.4806,3.46537,18.5679,18.5679,0.0,0.0,,107.985,449.376,93.7622,45.2337,41.5787,12.7902,35.6953,,3.8696,118.317,9.86109,2.97502,3.31463,1.066,0.263291,0.079433,0.18385805189609528,0.228794,1.19885,0.29053,0.755024,,,3.55219,2.20867,2.35302,70.58999633789062,,,,,,,510.9000000000001,4.730555555555556,487.0,4.5092592592592595,,,,,,,,,,,,,,,,,,,Jesus Luzardo,19959,666200
Drew Rasmussen,TBR,6.4683,6.0656,9.4344,3.58135,18.43,18.43,0.0,0.0,,102.674,426.033,95.6869,44.5869,40.8568,11.1458,26.5499,,3.7133,101.993,8.94029,2.32726,3.84155,0.977,0.239401,0.0623189,0.17708205431699753,0.241774,1.19053,0.299121,0.7282,,,3.41333,2.20745,2.0128,132.36000061035156,,,,,,,488.30000000000007,4.7407766990291265,483.0,4.689320388349515,,,,,,,,,,,,,,,,,,,Drew Rasmussen,25385,656876
